'5.6_millimetres' | structural violation
newborn -> baby -> child -> young_human | semantic abstraction jump
newborn -> baby -> child -> small_young_person | semantic abstraction jump
newfoundland_dog -> working_dog -> dog | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> canine | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> domesticated_canine | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> example_of_pet | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> mammal | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> pet | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> pet -> animal | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> mammal -> animal | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> example_of_pet | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> domesticated_canine | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> canine -> animal | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> canine -> mammal | semantic abstraction jump
newfoundland_dog -> working_dog -> dog -> canine -> mammal -> animal | semantic abstraction jump
newfoundland_dog -> dog -> mammal -> animal | semantic abstraction jump
newfoundland_dog -> dog -> canine -> mammal -> animal | semantic abstraction jump
balled_babies | structural violation
designed | structural violation
news_organization -> information_providing_organization -> media_organization | semantic abstraction jump
news_organization -> information_providing_organization -> service_organization -> organization | semantic abstraction jump
news_organization -> information_providing_organization -> media_organization -> organization | semantic abstraction jump
news_on_paper | structural violation
often_called_press | structural violation
hour_long | structural violation
international_from_foreign_countries | structural violation
newsperson | structural violation
both_usually_recyclable | structural violation
newspaper_article -> published_work -> publication | semantic abstraction jump
newspaper_critic -> newspaper_columnist -> columnist -> journalist | semantic abstraction jump
newspaper_critic -> newspaper_columnist -> columnist -> journalist -> writer | semantic abstraction jump
collection_of_rough_paper_sheets | structural violation
for_recycling | structural violation
one_source_for_news | structural violation
reliable_source_of_information | structural violation
both_periodicals | structural violation
both_printed_media | structural violation
two_common_types_of_periodicals | structural violation
consumed_and_become_garbage | structural violation
form_printed_news | structural violation
singular_newspapers_plural | structural violation
waste_of_paper | structural violation
printed_on_to_paper | structural violation
up_to_date_information | structural violation
magazin_can_read | structural violation
magazine_reports_news | structural violation
in_newcastle | structural violation
city_in_greater_boston | structural violation
newtonian_telescope -> reflecting_telescope -> optical_telescope | semantic abstraction jump
newtonian_telescope -> reflecting_telescope -> optical_telescope -> astronomical_telescope | semantic abstraction jump
newtonian_telescope -> reflecting_telescope -> optical_telescope -> astronomical_telescope -> telescope | semantic abstraction jump
brightly_colored_salamanders_type_of_amphibian | structural violation
next_computer -> workstation -> single_user_computer -> computer | semantic abstraction jump
next_computer -> workstation -> single_user_computer -> computer -> computer_hardware | semantic abstraction jump
next_computer -> workstation -> single_user_computer -> computer -> machine | semantic abstraction jump
next_computer -> workstation -> single_user_computer -> computer -> computer_hardware -> computer_product | semantic abstraction jump
next_computer -> workstation -> digital_computer -> computer | semantic abstraction jump
next_computer -> workstation -> digital_computer -> computer -> computer_hardware | semantic abstraction jump
next_computer -> workstation -> digital_computer -> computer -> machine | semantic abstraction jump
next_computer -> workstation -> digital_computer -> computer -> computer_hardware -> computer_product | semantic abstraction jump
sexy_bald_headed_man | structural violation
over_native_americans | structural violation
fact_about_social_systems | structural violation
nfl_game -> game_of_nfl_football -> game_event | edge semantic failure
nfl_game -> game_of_nfl_football -> team_sports_competition | edge semantic failure
nfl_game -> game_of_nfl_football -> team_sports_competition -> sports_competition | edge semantic failure
nfl_season -> sport_season_whole -> sport_season | semantic abstraction jump
nfl_team -> professional_sports_team -> sports_team | semantic abstraction jump
nfl_team -> professional_sports_team -> sports_team -> athlete_or_sports_team | semantic abstraction jump
nfl_team -> professional_sports_team -> sports_team -> sports_organization | semantic abstraction jump
nfl_team -> professional_sports_team -> sports_team -> team | semantic abstraction jump
nfl -> football_league -> soccer_league -> group_of_sports_teams | semantic abstraction jump
nfl -> football_league -> league -> soccer_league -> group_of_sports_teams | semantic abstraction jump
country_in_latin_america | structural violation
nicaraguan_person -> nicaraguan -> central_american -> person_with_nationality | edge semantic failure
nicaraguan_person -> nicaraguan -> central_american -> person | edge semantic failure
nicaraguan_person -> nicaraguan -> central_american -> person_with_nationality -> person | edge semantic failure
good_places_to_live | structural violation
winter_time | structural violation
another_word_for_kind | structural violation
common_male_name | structural violation
both_metal | structural violation
nickel_bronze -> bronze -> copper_base_alloy | edge semantic failure
nickel_bronze -> bronze -> copper_base_alloy -> alloy | edge semantic failure
nickel_bronze -> bronze -> copper_base_alloy -> alloy -> metal | edge semantic failure
coin_op | structural violation
nickel_silver -> alloy -> metal | semantic abstraction jump
nickel_steel -> alloy_steel -> steel -> metals_mining -> materials | edge semantic failure
coin_worth_five_cents | structural violation
loose_change | structural violation
worth_five_cents | structural violation
aloha_state | structural violation
gem_state | structural violation
prairie_state | structural violation
hoosier_state | structural violation
hawkeye_state | structural violation
sunflower_state_or_jayhawk_state | structural violation
bluegrass_state | structural violation
pelican_state | structural violation
pine_tree_state | structural violation
pinetree_state | structural violation
free_state_or_old_line_state | structural violation
bay_state_or_old_colony_state | structural violation
wolverine_state | structural violation
magnolia_state | structural violation
show_state | structural violation
treasure_state | structural violation
cornhusker_state_or_beef_state | structural violation
granite_state | structural violation
garden_state | structural violation
land_of_enchantment | structural violation
tar_heel_state | structural violation
buckeye_state | structural violation
beaver_state | structural violation
keystone_state | structural violation
ocean_state | structural violation
palmetto_state | structural violation
mount_rushmore_state_or_coyote_state | structural violation
nickname_for_television -> tv -> abbreviation_for_television | semantic abstraction jump
nickname_for_television -> tv -> acronym_for_television | semantic abstraction jump
nickname_for_television -> tv -> short_name_for_television | semantic abstraction jump
nickname_for_television -> tv -> way_of_saying_television | semantic abstraction jump
nickname_for_television -> tv -> way_of_saying_television | semantic abstraction jump
nickname_for_television -> tv -> short_name_for_television | semantic abstraction jump
nickname_for_television -> tv -> acronym_for_television | semantic abstraction jump
nickname_for_television -> tv -> abbreviation_for_television | semantic abstraction jump
volunteer_state | structural violation
lone_star_state | structural violation
beehive_state | structural violation
green_mountain_state | structural violation
old_dominion_or_mother_of_presidents | structural violation
old_dominion | structural violation
evergreen_state | structural violation
mountain_state | structural violation
badger_state | structural violation
equality_state | structural violation
nickname -> name -> noun | edge semantic failure
nickname -> given_name -> name | semantic abstraction jump
nickname -> given_name -> name -> noun | edge semantic failure
nickname_for_name | structural violation
salicylanilide | structural violation
powerful_poison | structural violation
family_relastionship | structural violation
nephling | structural violation
famous_physicist | structural violation
dead_but_god_lives | structural violation
nigerian_citizen -> nigerian -> person_with_nationality | edge semantic failure
nigerien_soldier -> nigerois -> person_with_nationality | edge semantic failure
nigerien -> sub_saharan -> african | semantic abstraction jump
nigerien -> sub_saharan -> african -> person_with_nationality | semantic abstraction jump
night_bell -> doorbell -> bell | semantic abstraction jump
night_bird -> bird -> eagle -> animal | edge semantic failure
night_bird -> bird -> eagle -> bird_of_prey | semantic abstraction jump
night_bird -> bird -> eagle -> large_bird_of_prey | edge semantic failure
night_bird -> bird -> eagle -> large_bird_of_prey | edge semantic failure
night_game -> outdoor_game -> game | semantic abstraction jump
night_game -> outdoor_game -> game -> play | semantic abstraction jump
night_game -> outdoor_game -> athletic_game -> game | semantic abstraction jump
night_game -> outdoor_game -> athletic_game -> game -> play | semantic abstraction jump
night_snake -> colubrid_snake -> snake | semantic abstraction jump
night_stop -> stop -> place_where_stops | edge semantic failure
night_stop -> stop -> place_where_stops | edge semantic failure
when_most_people_visit_bars | structural violation
night_vision -> sight -> sensory_enhancement_device_visual | edge semantic failure
boring_profession | structural violation
nightclothes -> clothing -> covering | edge semantic failure
nightclothes -> clothing -> covering -> dressing | edge semantic failure
nightclothes -> clothing -> covering -> dressing -> cloth_covering | edge semantic failure
usally_rather_noisy | structural violation
colder_than_day | structural violation
airglow | structural violation
long_loose_garment | structural violation
nightlight -> light_fixture -> lamp | semantic abstraction jump
nightlight -> light_fixture -> lamp -> light | semantic abstraction jump
nightlight -> light_fixture -> lamp -> source_of_illumination | edge semantic failure
nightlight -> light_fixture -> lamp -> light -> illumination | semantic abstraction jump
nightlight -> light_fixture -> lamp -> light -> source_of_illumination | semantic abstraction jump
nightlight -> light_fixture -> lamp -> light -> where_no_darkness | semantic abstraction jump
nightlight -> light_fixture -> lamp -> light -> where_no_darkness | semantic abstraction jump
bad_happening | structural violation
popular_horror_movie | structural violation
bad_dream | structural violation
frightening_dream | structural violation
scary_dream | structural violation
time_during | structural violation
darker_than_daytime | structural violation
finnish_operatic_heavy_metal_band | structural violation
nike_clothing -> shoe -> clothes | semantic abstraction jump
nike_clothing -> shoe -> clothing_item | edge semantic failure
nike_clothing -> shoe -> footwear | semantic abstraction jump
nike_clothing -> shoe -> footwear -> clothing | semantic abstraction jump
nike_clothing -> shoe -> footwear -> textiles_apparel_luxury_goods | semantic abstraction jump
nike_clothing -> shoe -> footwear -> textiles_apparel_luxury_goods -> consumer_durables_apparel | semantic abstraction jump
nike_clothing -> shoe -> footwear -> clothing -> wearable_item | semantic abstraction jump
nike_clothing -> shoe -> footwear -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
nike_clothing -> shoe -> clothing_item -> clothing | edge semantic failure
nike_clothing -> shoe -> clothing_item -> clothing -> wearable_item | edge semantic failure
nike_clothing -> shoe -> clothing_item -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
running_shoe -> athletic_footwear -> shoe | semantic abstraction jump
running_shoe -> athletic_footwear -> shoe -> footwear | semantic abstraction jump
running_shoe -> athletic_footwear -> shoe -> shoegear | semantic abstraction jump
running_shoe -> athletic_footwear -> shoe -> what_people_wear_on_feet | semantic abstraction jump
running_shoe -> athletic_footwear -> shoe -> what_people_wear_on_feet | semantic abstraction jump
running_shoe -> athletic_footwear -> shoe -> shoegear | semantic abstraction jump
sneaks | structural violation
nimbostratus_cloud -> middle_level_cloud -> cloud | semantic abstraction jump
common_billiards_game | structural violation
nine_card -> playing_card -> card | semantic abstraction jump
three_quarters_of_year | structural violation
vacillation | structural violation
anger_and_volatility | structural violation
nine -> number -> digit | semantic abstraction jump
amount_of_kids | structural violation
numerical_value | structural violation
nineteen_card -> playing_card -> card | semantic abstraction jump
less_than_thousand | structural violation
game_console | structural violation
video_game_company | structural violation
video_game_console | structural violation
ninth_month_of_year -> september -> gregorian_calendar_month | edge semantic failure
ninth_month_of_year -> september -> gregorian_month | edge semantic failure
ninth_month_of_year -> september -> month -> date -> calendar_month | semantic abstraction jump
ninth_month_of_year -> september -> month -> date -> calendar_year | semantic abstraction jump
ninth_month_of_year -> september -> month -> date -> calendar_year -> year | semantic abstraction jump
ninth_month_of_year -> september -> month -> date -> calendar_year -> year -> decade | semantic abstraction jump
ninth_month_of_year -> september -> month -> date -> calendar_year -> year -> week | semantic abstraction jump
ninth_month_of_year -> september -> gregorian_month -> month | edge semantic failure
ninth_month_of_year -> september -> gregorian_month -> month -> date | edge semantic failure
ninth_month_of_year -> september -> gregorian_month -> month -> date -> calendar_day | edge semantic failure
ninth_month_of_year -> september -> gregorian_month -> month -> date -> calendar_month | edge semantic failure
ninth_month_of_year -> september -> gregorian_month -> month -> date -> calendar_year | edge semantic failure
ninth_month_of_year -> september -> gregorian_month -> month -> date -> calendar_year -> year | edge semantic failure
ninth_month_of_year -> september -> gregorian_calendar_month -> calendar_month | edge semantic failure
ninth_thoracic_vertebra -> dorsal_vertebra -> vertebra | semantic abstraction jump
nipple_shield -> shield -> armor -> protective_covering | edge semantic failure
nipponese_soldier -> japanese -> person_with_nationality | edge semantic failure
nissan_720 -> nissan_vehicle -> japanese_car -> imported_car -> car -> vehicle | semantic abstraction jump
both_models_of_cars | structural violation
both_car_manufacturers | structural violation
brands_of_automobile | structural violation
nissan_dealership -> new_car_dealership -> car_dealership | semantic abstraction jump
compact_sedan | structural violation
nissan_truck -> pickup_truck -> truck | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> automobile | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> bigger_type_of_car | edge semantic failure
nissan_truck -> pickup_truck -> truck -> motor_vehicle | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> vehicle_type | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> vehicle | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> wheeled_vehicle | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> wheeled_vehicle -> vehicle | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> vehicle_type | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> motor_vehicle -> land_vehicle | semantic abstraction jump
nissan_truck -> pickup_truck -> truck -> bigger_type_of_car | edge semantic failure
nissan_truck -> pickup_truck -> truck -> automobile | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> another_name_for_automobile | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> another_word_for_automobile | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> vehicle_for_personal_transportation | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> vehicle | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> wheeled_vehicle | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> wheeled_vehicle -> vehicle | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> vehicle_for_personal_transportation | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> motor_vehicle -> land_vehicle | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> another_word_for_automobile | semantic abstraction jump
nissan_truck -> nissan_vehicle -> japanese_car -> imported_car -> car -> another_name_for_automobile | semantic abstraction jump
car_and_cars_have_brakes | structural violation
company_makes_cars | structural violation
foreign_car_manufacturer | structural violation
japanese_brand_of_motor_cars | structural violation
nitazoxanide -> thiazole -> chemical_compound | edge semantic failure
nitric_bacteria -> eubacteria -> bacteria | semantic abstraction jump
nitric_bacteria -> eubacteria -> common_bacteria | semantic abstraction jump
nitric_bacteria -> eubacteria -> common_bacteria | semantic abstraction jump
nitric_bacteria -> eubacteria -> bacteria -> microorganism | semantic abstraction jump
nitric_bacteria -> eubacteria -> bacteria -> microscopic_organisms | semantic abstraction jump
nitric_bacteria -> eubacteria -> bacteria -> microscopic_organisms | semantic abstraction jump
nitrifying_bacterium -> aerobic_bacterium -> bacterium | semantic abstraction jump
nitrobacter_genus -> nitrifying_bacterium -> aerobic_bacterium -> bacterium | semantic abstraction jump
nitrococcus_genus -> nitrifying_bacterium -> aerobic_bacterium -> bacterium | semantic abstraction jump
nitrococcus_genus -> nitrifying_bacterium -> aerobic_bacterium -> bacterium -> prokaryotic_organism | semantic abstraction jump
percussion_sensitive | structural violation
gas_at_1_atmosphere | structural violation
pnictogen | structural violation
relatively_inert_gas | structural violation
dyson_ring | structural violation
nl_clarification_predicate -> metaknowledge_predicate -> predicate | semantic abstraction jump
nl_clarification_predicate -> binary_predicate -> predicate | semantic abstraction jump
nl_relation -> relationship -> relation | semantic abstraction jump
nl_generation_predicate -> intangible_object_describing_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
term_phrases_constraint | structural violation
kfd_internal_kr_term | structural violation
nl_template_generation_predicate -> nl_generation_predicate -> intangible_object_describing_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
nl_template_generation_predicate -> intangible_object_describing_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
no_cardiac_valve_stenosis -> cardiac_valve_stenosis -> stenosis -> cardiac_valve_pathology | edge semantic failure
no_cardiac_valve_stenosis -> cardiac_valve_stenosis -> stenosis -> cardiac_valve_pathology | edge semantic failure
protestants | structural violation
longer_than_10000000_page | structural violation
catholics | structural violation
no_doubt_at_all | structural violation
nothing_yet_no_one_knows | structural violation
truely_perminent_with_time_all_things_pass | structural violation
good_war | structural violation
noble_cane -> sugarcane -> cane | semantic abstraction jump
member_of_slade | structural violation
nbc_suit | structural violation
noise_rock -> music_genre -> music | semantic abstraction jump
noise_rock -> music_genre -> music -> collection_of_sounds | semantic abstraction jump
noise_rock -> music_genre -> music -> combination_of_sounds | semantic abstraction jump
noise_rock -> music_genre -> music -> form_of_sound | semantic abstraction jump
noise_rock -> music_genre -> music -> pattern_of_sounds | edge semantic failure
noise_rock -> music_genre -> music -> sequence_of_sounds | semantic abstraction jump
noise_rock -> music_genre -> music -> sound | semantic abstraction jump
noise_rock -> music_genre -> music -> specially_pleasant_sequence_of_sounds | edge semantic failure
noise_rock -> music_genre -> music -> specially_pleasant_sequence_of_sounds | edge semantic failure
noise_rock -> music_genre -> music -> sound -> sound_property | semantic abstraction jump
noise_rock -> music_genre -> music -> sequence_of_sounds | semantic abstraction jump
noise_rock -> music_genre -> music -> pattern_of_sounds | edge semantic failure
noise_rock -> music_genre -> music -> form_of_sound | semantic abstraction jump
noise_rock -> music_genre -> music -> combination_of_sounds | semantic abstraction jump
noise_rock -> music_genre -> music -> collection_of_sounds | semantic abstraction jump
noiselessness -> quietness -> silence -> sound_property | edge semantic failure
party_horn | structural violation
nonperiodic_signal | structural violation
sounds_of_little_value | structural violation
unwelcome_sound | structural violation
cell_phone_manufacturer | structural violation
communications_company_from_finland | structural violation
finnish_company | structural violation
town_in_finland | structural violation
famous_baseball_pitcher | structural violation
famous_pitcher | structural violation
nominee_account -> account_legal_agreement -> account | semantic abstraction jump
non_aoa_specialization_doctor -> doctor -> medical_practitioner | semantic abstraction jump
non_aoa_specialization_doctor -> doctor -> medical_practitioner -> health_professional | semantic abstraction jump
partially_non_compliant | structural violation
non_modern_clothing_style -> wearable_item -> clothing_market_category | edge semantic failure
non_newtonian_fluid | structural violation
non_person_animal_abuse -> animal_cruelty -> harmed | edge semantic failure
non_physician_prescriber -> prescriber -> medical_care_professional | edge semantic failure
non_physician_prescriber -> prescriber -> medical_care_professional -> health_care_provider | edge semantic failure
non_physician_prescriber -> prescriber -> medical_care_professional -> health_professional | edge semantic failure
role_playing_character -> fictitious_character -> narrative_role | edge semantic failure
role_playing_character -> fictitious_character -> narrative_role | edge semantic failure
non_productive_cough -> cough -> illness | edge semantic failure
non_profit_corporation -> legal_corporation -> organization | edge semantic failure
non_profit_worker -> employee -> worker | semantic abstraction jump
non_sustained_ventricular_tachycardia -> ventricular_tachycardia -> ventricular_tachycardia_or_fibrillation -> ventricular_arrhythmia -> cardiac_arrhythmia -> nonvalvular_heart_disease | edge semantic failure
nactin | structural violation
nine_sided_figure | structural violation
protologism | structural violation
noncompetitive_inhibition -> allosterically_inhibiting -> protein_molecule_inhibition | edge semantic failure
canonical_hours | structural violation
powdered_milk -> milk -> mixture | edge semantic failure
nonfictional_context -> context -> discourse | edge semantic failure
factual_information | structural violation
nonkinetochore_microtubule -> spindle_microtubule -> microtubule | semantic abstraction jump
nonkinetochore_microtubule -> spindle_microtubule -> microtubule -> cytoskeleton_fiber | semantic abstraction jump
nonkinetochore_microtubule -> spindle_microtubule -> microtubule -> tubule | semantic abstraction jump
usuall_brittle | structural violation
non -> no -> negative | edge semantic failure
closed_shape_with_nine_sides | structural violation
nonpasserine_bird -> bird -> non_person_animal | edge semantic failure
nonpasserine_bird -> bird -> eagle -> bird_of_prey | semantic abstraction jump
nonpasserine_bird -> bird -> eagle -> large_bird_of_prey | edge semantic failure
nonpasserine_bird -> bird -> eagle -> large_bird_of_prey | edge semantic failure
nonperson -> person -> member_of_human_race | edge semantic failure
nonperson -> person -> synonym_for_human | edge semantic failure
nonperson -> person -> synonym_for_human | edge semantic failure
nonperson -> person -> member_of_human_race | edge semantic failure
nonphysical_part_predicate -> part_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
nonphysical_part_predicate -> intangible_object_describing_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
part_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
part_predicate -> binary_predicate -> predicate | semantic abstraction jump
nonpolar_chemical_object -> hydrophobic_chemical_object -> chemical_object | semantic abstraction jump
nonpolar_chemical_object -> hydrophobic_chemical_object -> chemical_object -> microscopic_object | semantic abstraction jump
nonrestrictive_clause -> subordinate_clause -> clause | semantic abstraction jump
nonrheumatic_valvular_heart_disease -> acquired_valvular_heart_disease -> cardiac_valve_problem -> heart_disease | semantic abstraction jump
nonrheumatic_valvular_heart_disease -> acquired_valvular_heart_disease -> cardiac_valve_problem -> heart_disease -> cardiovascular_disease | semantic abstraction jump
nonsingular_matrix -> square_matrix -> matrix | semantic abstraction jump
nonsocial_infection -> infection -> illness -> medical_condition | semantic abstraction jump
nonsocial_infection -> infection -> disease -> illness -> medical_condition | semantic abstraction jump
hyperreal_number | structural violation
nonstop_flight -> flight -> air_travel -> airplane_trip | semantic abstraction jump
nontronite -> mineral -> inorganic_substance -> inanimate_object | edge semantic failure
nonylphenol -> phenol -> chemical_compound | edge semantic failure
nonylphenol -> phenol -> organic_compound | edge semantic failure
flat_strips_of_pasta | structural violation
noon -> calendar_hour -> time_of_day | semantic abstraction jump
another_way_of_saying_12_00_pm | structural violation
quickie | structural violation
time_for_lunch | structural violation
noontime -> calendar_hour -> time_of_day | semantic abstraction jump
prickly_pear -> cactus -> prickly_plant | semantic abstraction jump
prickly_pear -> cactus -> prickly_plant | semantic abstraction jump
noradrenaline -> catecholamine -> hormone | edge semantic failure
nordic_combined_sports_event -> nordic_skiing_sports_event -> snow_skiing_sporting_event -> asynchronous_sporting_event -> sports_event | semantic abstraction jump
nordic_combined_sports_event -> nordic_skiing_sports_event -> snow_skiing_sporting_event -> asynchronous_sporting_event -> sports_event -> game_event | semantic abstraction jump
nordic_combined_sports_event -> nordic_skiing_sports_event -> snow_skiing_sporting_event -> asynchronous_sporting_event -> sports_event -> sports_competition | semantic abstraction jump
nordic_combined_sports_event -> nordic_skiing_sports_event -> snow_skiing_sporting_event -> asynchronous_sporting_event -> sports_event -> sports_competition -> organized_event | edge semantic failure
brain_chemical_similar_to_adrenaline | structural violation
green_seaweed | structural violation
normal_fault -> inclined_fault -> fault | semantic abstraction jump
eyes_and_ears | structural violation
of_weapon | structural violation
normal_heart_rhythm -> sinus_heart_rhythm -> cardiac_arrhythmia -> cardiac -> heart_rhythm | semantic abstraction jump
normal_phase_chromatography -> high_pressure_liquid_chromatography -> chromatography | semantic abstraction jump
normal_phase_chromatography -> high_pressure_liquid_chromatography -> column_chromatography -> chromatography | semantic abstraction jump
normal_school -> junior_college -> college -> school | semantic abstraction jump
normal_school -> junior_college -> college -> school -> educational_institution | semantic abstraction jump
normal_school -> junior_college -> college -> school -> education | semantic abstraction jump
norman_architecture -> romanesque -> architectural_style | edge semantic failure
graduate_students | structural violation
north_african_fire_salamander -> salamandridae -> salamander | semantic abstraction jump
continent_on_planet_earth | structural violation
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale | semantic abstraction jump
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale -> cetacean | semantic abstraction jump
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale -> large_cetacean | semantic abstraction jump
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale -> marine_mammal | semantic abstraction jump
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean | semantic abstraction jump
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean -> sea_mammal | semantic abstraction jump
north_atlantic_right_whale -> right_whale -> baleen_whale -> whale -> cetacean -> sea_mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale | semantic abstraction jump
right_whale -> baleen_whale -> whale -> cetacean | semantic abstraction jump
right_whale -> baleen_whale -> whale -> large_cetacean | semantic abstraction jump
right_whale -> baleen_whale -> whale -> mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> marine_mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> marine_mammal -> fish | semantic abstraction jump
right_whale -> baleen_whale -> whale -> marine_mammal -> fish -> animal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> marine_mammal -> fish -> aquatic_animal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> marine_mammal -> fish -> aquatic_animal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> mammal -> animal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean | semantic abstraction jump
right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean -> aquatic_mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean -> sea_mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean -> sea_mammal -> animal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> cetacean -> aquatic_mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> cetacean -> sea_mammal | semantic abstraction jump
right_whale -> baleen_whale -> whale -> cetacean -> sea_mammal -> animal | semantic abstraction jump
north_atlantic_treaty_organization -> world_organization -> alliance -> treaty | semantic abstraction jump
north_atlantic_treaty_organization -> world_organization -> alliance -> treaty -> international_agreement | semantic abstraction jump
north_by_east -> compass_point -> direction | edge semantic failure
north_by_east -> compass_point -> precise_direction -> direction | semantic abstraction jump
north_by_east -> compass_point -> precise_direction -> direction -> terrestrial_direction | semantic abstraction jump
north_by_east -> compass_point -> direction -> terrestrial_direction | edge semantic failure
north_by_west -> compass_point -> direction | edge semantic failure
old_north_state | structural violation
name_of_state | structural violation
north_dakota_hymn | structural violation
hamgyong | structural violation
north_korean_person -> korean_person -> asian -> eastern_hemisphere_person | edge semantic failure
north_korean_person -> korean_person -> asian -> person_with_nationality | semantic abstraction jump
north_korean_person -> korean_person -> asian -> person | edge semantic failure
north_korean_person -> korean_person -> asian -> person_with_nationality -> person | semantic abstraction jump
north_korean_person -> korean_person -> asian -> eastern_hemisphere_person -> person | edge semantic failure
north_korean_soldier -> soldier -> military_person | semantic abstraction jump
north_korean_soldier -> soldier -> military_person -> military_agent | semantic abstraction jump
north_korean_soldier -> soldier -> military_person -> military_agent -> military_object | semantic abstraction jump
under_siege | structural violation
pposite | structural violation
north_pacific_right_whale -> right_whale -> baleen_whale -> whale | semantic abstraction jump
north_pacific_right_whale -> right_whale -> baleen_whale -> whale -> cetacean | semantic abstraction jump
north_pacific_right_whale -> right_whale -> baleen_whale -> whale -> large_cetacean | semantic abstraction jump
north_pacific_right_whale -> right_whale -> baleen_whale -> whale -> marine_mammal | semantic abstraction jump
north_pacific_right_whale -> right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean | semantic abstraction jump
north_pacific_right_whale -> right_whale -> baleen_whale -> whale -> large_cetacean -> cetacean -> sea_mammal | semantic abstraction jump
north_pacific_right_whale -> right_whale -> baleen_whale -> whale -> cetacean -> sea_mammal | semantic abstraction jump
north_side -> side -> area | edge semantic failure
north_side -> side -> region | edge semantic failure
north_side -> side -> region -> location | edge semantic failure
north_side -> side -> area -> region | edge semantic failure
north_side -> side -> area -> region -> location | edge semantic failure
directions | structural violation
north -> region -> location | semantic abstraction jump
northern_cricket_frog -> cricket_frog -> tree_toad -> frog | semantic abstraction jump
northern_cricket_frog -> cricket_frog -> tree_toad -> frog -> amphibian | semantic abstraction jump
northern_dusky_salamander -> dusky_salamander -> lungless_salamander -> salamander | semantic abstraction jump
northern_dusky_salamander -> dusky_salamander -> lungless_salamander -> salamander -> amphibian | semantic abstraction jump
northern_elephant_seal -> true_seal -> seal | semantic abstraction jump
northern_elephant_seal -> true_seal -> seal -> sea_mammal | edge semantic failure
